real12,pred12,real3,pred3
93.463,94.196045,99.263,94.081955
88.277,93.55453,94.927,94.18757
92.68,93.80698,101.648,93.841515
93.252,94.03699,89.212,93.99783
94.021,93.972115,96.659,93.626144
95.093,94.21503,94.152,93.82539
91.271,94.0792,96.972,93.584236
89.366,94.07005,93.796,93.575165
92.554,94.40673,87.744,93.54213
104.605,94.559555,93.463,93.780846
96.889,94.59105,88.277,93.63069
90.116,94.52855,92.68,93.48911
93.716,94.69692,93.252,93.34985
99.2,94.78749,94.021,93.18404
91.941,94.816635,95.093,93.226685
88.669,94.80076,91.271,93.08833
90.599,94.885635,89.366,93.20394
99.437,94.85117,92.554,93.18301
87.858,94.7639,104.605,93.1608
99.44,94.60014,96.889,93.21891
106.361,94.16034,90.116,93.46787
88.492,93.65536,93.716,94.177376
99.431,93.25629,99.2,94.63609
91.665,92.97749,91.941,94.345406
91.773,92.83078,88.669,94.60317
104.248,92.82266,90.599,95.32561
87.319,93.172485,99.437,95.37763
90.139,93.748825,87.858,94.80353
106.537,94.08298,99.44,94.44656
100.554,94.600266,106.361,94.48564
92.423,94.86824,88.492,94.17385
73.799,95.05972,99.431,93.97984
97.415,95.040276,91.665,94.353745
91.896,94.380264,91.773,93.71832
95.357,93.82982,104.248,93.89772
102.893,93.747604,87.319,93.808556
107.92,93.8853,90.139,94.02142
88.525,93.919815,106.537,94.52063
89.113,93.882614,100.554,94.18996
105.494,93.69992,92.423,94.184494
80.02,93.54946,73.799,94.25342
89.264,93.60891,97.415,94.41278
83.167,94.0164,91.896,94.20775
82.478,93.40214,95.357,94.37626
68.134,93.30657,102.893,93.80792
80.261,93.65285,107.92,93.60049
100.686,94.105934,88.525,94.150154
107.177,93.92069,89.113,94.6567
73.224,93.02817,105.494,94.90698
53.816,94.5331,80.02,93.97052
77.436,91.165924,89.264,94.20903
77.117,88.21037,83.167,92.64923
107.027,87.26107,82.478,93.11609
98.816,87.63665,68.134,92.42015
88.735,87.48948,80.261,92.64082
104.256,87.196724,100.686,93.13938
76.565,87.27586,107.177,93.49742
92.874,88.76403,73.224,92.05499
105.655,90.61898,53.816,90.36148
111.315,91.17708,77.436,88.6197
77.771,92.645134,77.117,87.77845
81.916,92.311455,107.027,83.82854
107.987,94.76036,98.816,84.67672
109.702,95.74365,88.735,85.83421
104.244,95.97878,104.256,86.81473
97.021,96.29534,76.565,87.77032
95.355,97.01187,92.874,88.67527
106.171,96.86385,105.655,89.026215
91.435,96.44378,111.315,90.356636
90.444,96.16063,77.771,90.835556
93.596,96.57485,81.916,91.78575
85.799,96.921005,107.987,94.024124
89.023,95.898766,109.702,96.03488
96.748,95.15126,104.244,96.00398
89.484,94.50219,97.021,96.94217
100.179,94.16873,95.355,98.4256
96.403,94.10635,106.171,98.963066
93.751,93.93391,91.435,98.8807
94.936,93.37334,90.444,98.063156
93.271,93.8993,93.596,97.659706
96.855,94.31821,85.799,96.40663
87.621,94.860565,89.023,95.33658
103.56,95.045975,96.748,94.57798
97.995,95.214615,89.484,94.506165
104.479,95.113594,100.179,94.045586
88.392,95.12102,96.403,94.03949
93.325,94.99701,93.751,93.75737
93.499,95.11246,94.936,93.42546
93.755,94.899475,93.271,93.49087
102.236,94.78635,96.855,93.63346
98.332,94.88264,87.621,93.93741
94.34,94.94623,103.56,94.051094
98.721,95.03644,97.995,94.351974
86.154,94.821045,104.479,94.47246
94.587,94.71161,88.392,94.67398
84.54,94.538246,93.325,94.61851
93.469,94.873924,93.499,95.02604
95.984,94.24411,93.755,94.57698
93.667,94.268005,102.236,94.39429
98.387,94.306595,98.332,94.17117
90.134,94.43104,94.34,94.10787
99.19,94.50824,98.721,94.16829
90.136,94.469894,86.154,94.096
101.128,94.44347,94.587,94.18047
101.303,94.698044,84.54,94.14787
90.153,94.3535,93.469,93.95318
94.104,94.45539,95.984,93.56041
96.986,94.89951,93.667,93.718376
93.835,94.95273,98.387,93.52403
91.766,94.76419,90.134,93.4052
81.994,94.8869,99.19,93.31168
92.166,94.99471,90.136,93.401726
96.429,94.93028,101.128,93.327995
95.828,95.05379,101.303,93.53181
89.844,94.98603,90.153,93.302925
77.625,94.715836,94.104,93.68871
86.201,94.14734,96.986,93.82905
93.316,93.839935,93.835,93.79423
90.604,93.20047,91.766,93.925735
95.283,92.83167,81.994,94.22081
102.715,92.749596,92.166,94.45078
78.274,92.66219,96.429,94.57284
95.042,92.632545,95.828,94.33487
100.604,92.506615,89.844,94.362755
97.636,92.57212,77.625,94.408714
94.793,93.43524,86.201,94.57338
97.427,93.75552,93.316,94.16899
95.355,93.02668,90.604,93.12071
108.229,92.88812,95.283,92.53335
101.102,92.50429,102.715,92.54599
82.973,92.93149,78.274,92.68824
73.147,92.93621,95.042,93.013985
83.592,92.855286,100.604,93.11384
93.504,92.45958,97.636,92.269066
88.212,92.292465,94.793,92.023636
93.613,92.290596,97.427,91.96309
103.714,92.56203,95.355,92.48354
73.698,92.4274,108.229,92.45795
56.537,92.48565,101.102,92.62152
85.72,92.36926,82.973,91.948814
108.726,91.918365,73.147,91.89601
80.261,91.60973,83.592,92.316986
88.004,90.67615,93.504,91.380325
87.082,89.914276,88.212,91.17945
45.263,91.31678,93.613,91.19449
77.92,90.88827,103.714,92.2715
75.712,90.70886,73.698,94.266426
99.474,87.10107,56.537,91.2232
113.683,86.55075,85.72,91.36589
98.816,86.49021,108.726,92.60048
100.407,86.6711,80.261,92.77179
107.786,87.56563,88.004,92.15189
77.356,88.20186,87.082,90.75712
57.719,88.359276,45.263,90.53098
81.663,90.2394,77.92,89.0405
86.679,91.92225,75.712,88.04435
64.154,91.699295,99.474,86.09034
98.098,93.853096,113.683,85.865204
106.575,95.21268,98.816,87.003716
106.919,95.3209,100.407,86.98379
101.342,95.17752,107.786,87.19502
89.867,96.50184,77.356,86.85893
94.473,97.13058,57.719,87.46255
94.362,96.74464,81.663,88.03655
91.049,95.68016,86.679,88.97351
108.075,95.127335,64.154,91.42677
105.384,95.96142,98.098,92.00488
97.17,96.71093,106.575,93.128365
94.943,97.15124,106.919,95.80641
105.689,96.22246,101.342,96.22467
91.071,94.19452,89.867,97.22888
98.091,93.69813,94.473,97.034485
104.284,93.46062,94.362,97.702255
94.129,93.130516,91.049,97.501785
100.139,92.996864,108.075,97.01474
103.388,93.61235,105.384,96.40211
95.492,94.47816,97.17,96.04394
94.842,94.90374,94.943,95.39793
93.066,95.645226,105.689,95.69266
99.69,94.89981,91.071,94.70824
85.641,94.84393,98.091,94.38141
101.456,95.04148,104.284,94.7203
93.554,95.274826,94.129,94.37015
95.553,95.11125,100.139,94.397156
96.301,95.38784,103.388,94.327736
100.453,95.222244,95.492,94.35193
97.316,95.29407,94.842,94.558556
93.561,95.72065,93.066,94.813644
97.317,95.47084,99.69,94.681656
92.301,95.03686,85.641,94.78773
106.854,95.043045,101.456,94.83987
89.183,95.01678,93.554,94.874275
82.347,94.91613,95.553,95.015076
73.221,94.66209,96.301,94.685486
92.308,94.51525,100.453,94.90619
93.259,94.32235,97.316,94.42628
101.882,94.396065,93.561,94.12368
92.356,94.54902,97.317,94.207016
88.393,94.5561,92.301,94.159996
80.365,94.44998,106.854,93.98282
92.487,94.61003,89.183,93.99412
89.72,94.669266,82.347,93.76463
87.309,95.00566,73.221,94.08047
101.561,94.76866,92.308,93.75322
106.039,94.96352,93.259,93.89711
104.684,95.82789,101.882,93.85279
90.028,95.56555,92.356,93.65863
82.788,94.62374,88.393,93.5007
90.36,94.87358,80.365,93.50909
95.595,94.86623,92.487,93.357056
92.233,94.70256,89.72,93.23576
92.508,94.91234,87.309,93.29636
86.105,93.98552,101.561,93.4883
93.7,93.22789,106.039,93.752174
91.202,93.16678,104.684,93.850395
86.868,92.94906,90.028,94.54258
96.601,93.060875,82.788,95.40545
77.969,93.51832,90.36,95.658005
96.272,93.38636,95.595,94.99161
93.098,93.39254,92.233,94.60961
92.767,93.47207,92.508,93.95299
81.4,94.27223,86.105,94.37022
98.952,94.80632,93.7,94.454666
