qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
101001,78001D,2021/6/24,14,88.166,207
101001,78001D,2021/6/24,15,85.652,210
101001,78001D,2021/6/24,16,84.511,205
101001,78001D,2021/6/24,17,86.75,197
101001,78001D,2021/6/24,18,84.13,205
101001,78001D,2021/6/24,19,86.132,162
101001,78001D,2021/6/24,20,85.147,103
101001,78001D,2021/6/24,21,87.695,67
101001,78001D,2021/6/24,22,88.977,46
101001,78001D,2021/6/24,23,82.144,42
101001,78001D,2021/6/25,0,90.24,14
101001,78001D,2021/6/25,1,84.651,11
101001,78001D,2021/6/25,2,83.066,10
101001,78001D,2021/6/25,3,96.86,10
101001,78001D,2021/6/25,4,77.065,10
101001,78001D,2021/6/25,5,91.19,45
101001,78001D,2021/6/25,6,91.154,111
101001,78001D,2021/6/25,7,89.932,192
101001,78001D,2021/6/25,8,90.87,217
101001,78001D,2021/6/25,9,87.128,228
101001,78001D,2021/6/25,10,88.526,211
101001,78001D,2021/6/25,11,84.993,194
101001,78001D,2021/6/25,12,88.514,157
101001,78001D,2021/6/25,13,86.93,202
101001,78001D,2021/6/25,14,87.497,205
101001,78001D,2021/6/25,15,86.403,214
101001,78001D,2021/6/25,16,89.201,216
101001,78001D,2021/6/25,17,86.495,235
101001,78001D,2021/6/25,18,87.462,277
101001,78001D,2021/6/25,19,89.986,226
101001,78001D,2021/6/25,20,93.989,147
101001,78001D,2021/6/25,21,92.147,97
101001,78001D,2021/6/25,22,92.163,62
101001,78001D,2021/6/25,23,95.606,42
101001,78001D,2021/6/26,0,93.271,25
101001,78001D,2021/6/26,1,96.065,22
101001,78001D,2021/6/26,2,94.833,12
101001,78001D,2021/6/26,3,94.37,14
101001,78001D,2021/6/26,4,90.702,13
101001,78001D,2021/6/26,5,96.668,69
101001,78001D,2021/6/26,6,96.395,114
101001,78001D,2021/6/26,7,93.204,210
101001,78001D,2021/6/26,8,95.089,231
101001,78001D,2021/6/26,9,81.915,241
101001,78001D,2021/6/26,10,79.149,222
101001,78001D,2021/6/26,11,86.038,203
101001,78001D,2021/6/26,12,86.733,176
101001,78001D,2021/6/26,13,83.464,204
101001,78001D,2021/6/26,14,82.261,214
101001,78001D,2021/6/26,15,85.496,224
101001,78001D,2021/6/26,16,83.589,220
101001,78001D,2021/6/26,17,83.833,224
101001,78001D,2021/6/26,18,82.379,202
101001,78001D,2021/6/26,19,86.905,194
101001,78001D,2021/6/26,20,88.575,130
101001,78001D,2021/6/26,21,90.612,96
101001,78001D,2021/6/26,22,90.061,75
101001,78001D,2021/6/26,23,95.627,33
101001,78001D,2021/6/27,0,90.624,10
101001,78001D,2021/6/27,1,82.05,14
101001,78001D,2021/6/27,2,81.503,15
101001,78001D,2021/6/27,3,95.491,10
101001,78001D,2021/6/27,4,84.825,20
101001,78001D,2021/6/27,5,88.466,29
101001,78001D,2021/6/27,6,95.868,102
101001,78001D,2021/6/27,7,88.986,163
101001,78001D,2021/6/27,8,90.698,216
101001,78001D,2021/6/27,9,85.203,201
101001,78001D,2021/6/27,10,85.585,243
101001,78001D,2021/6/27,11,85.997,163
101001,78001D,2021/6/27,12,80.017,164
101001,78001D,2021/6/27,13,81.808,165
101001,78001D,2021/6/27,14,84.286,208
101001,78001D,2021/6/27,15,87.579,205
101001,78001D,2021/6/27,16,88.988,223
101001,78001D,2021/6/27,17,87.314,184
101001,78001D,2021/6/27,18,88.175,212
101001,78001D,2021/6/27,19,88.805,185
101001,78001D,2021/6/27,20,96.006,166
101001,78001D,2021/6/27,21,91.126,106
101001,78001D,2021/6/27,22,87.072,74
101001,78001D,2021/6/27,23,98.651,49
101001,78001D,2021/6/28,0,98.477,29
101001,78001D,2021/6/28,1,91.921,13
101001,78001D,2021/6/28,2,91.548,7
101001,78001D,2021/6/28,3,77.25,9
101001,78001D,2021/6/28,4,83.355,11
101001,78001D,2021/6/28,5,98.866,41
101001,78001D,2021/6/28,6,95.335,112
101001,78001D,2021/6/28,7,97.338,200
101001,78001D,2021/6/28,8,90.263,281
101001,78001D,2021/6/28,9,85.677,284
101001,78001D,2021/6/28,10,87.932,228
101001,78001D,2021/6/28,11,79.543,207
101001,78001D,2021/6/28,12,93.225,171
101001,78001D,2021/6/28,13,83.35,188
101001,78001D,2021/6/28,14,85.973,195
101001,78001D,2021/6/28,15,85.627,195
101001,78001D,2021/6/28,16,86.064,219
101001,78001D,2021/6/28,17,86.089,185
101001,78001D,2021/6/28,18,86.668,195
101001,78001D,2021/6/28,19,91.827,129
101001,78001D,2021/6/28,20,96.241,102
101001,78001D,2021/6/28,21,90.137,77
101001,78001D,2021/6/28,22,81.051,64
101001,78001D,2021/6/28,23,87.527,24
101001,78001D,2021/6/29,0,98.388,20
101001,78001D,2021/6/29,1,91.424,9
101001,78001D,2021/6/29,2,87.212,16
101001,78001D,2021/6/29,3,71.206,5
101001,78001D,2021/6/29,4,85.922,16
101001,78001D,2021/6/29,5,87.726,31
101001,78001D,2021/6/29,6,90.149,100
101001,78001D,2021/6/29,7,92.451,212
101001,78001D,2021/6/29,8,96.477,266
101001,78001D,2021/6/29,9,90.23,266
101001,78001D,2021/6/29,10,86.855,211
101001,78001D,2021/6/29,11,84.94,185
101001,78001D,2021/6/29,12,88.311,161
101001,78001D,2021/6/29,13,87.629,181
101001,78001D,2021/6/29,14,84.633,193
101001,78001D,2021/6/29,15,82.823,201
101001,78001D,2021/6/29,16,90.921,194
101001,78001D,2021/6/29,17,84.705,184
101001,78001D,2021/6/29,18,84.62,196
101001,78001D,2021/6/29,19,86.268,179
101001,78001D,2021/6/29,20,89.502,110
101001,78001D,2021/6/29,21,95.714,74
101001,78001D,2021/6/29,22,94.694,50
101001,78001D,2021/6/29,23,91.394,32
101001,78001D,2021/6/30,0,89.361,20
101001,78001D,2021/6/30,1,92.505,15
101001,78001D,2021/6/30,2,80.605,10
101001,78001D,2021/6/30,3,79.841,7
101001,78001D,2021/6/30,4,99.209,10
101001,78001D,2021/6/30,5,81.885,42
101001,78001D,2021/6/30,6,96.277,97
101001,78001D,2021/6/30,7,89.319,191
101001,78001D,2021/6/30,8,93.585,251
101001,78001D,2021/6/30,9,84.758,229
101001,78001D,2021/6/30,10,78.644,207
101001,78001D,2021/6/30,11,81.53,184
101001,78001D,2021/6/30,12,78.667,175
101001,78001D,2021/6/30,13,78.739,196
101001,78001D,2021/6/30,14,88.482,181
101001,78001D,2021/6/30,15,94.016,171
101001,78001D,2021/6/30,16,88.91,195
101001,78001D,2021/6/30,17,81.336,174
101001,78001D,2021/6/30,18,84.899,197
101001,78001D,2021/6/30,19,86.093,165
101001,78001D,2021/6/30,20,82.172,106
101001,78001D,2021/6/30,21,83.392,82
101001,78001D,2021/6/30,22,81.418,42
101001,78001D,2021/6/30,23,96.985,30
101001,78001D,2021/7/1,0,92.055,30
101001,78001D,2021/7/1,1,95.166,13
101001,78001D,2021/7/1,2,91.851,18
101001,78001D,2021/7/1,3,90.52,14
101001,78001D,2021/7/1,4,92.51,19
