qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
78000F,2002,2021/6/17,12,97.809,51
78000F,2002,2021/6/17,13,96.764,81
78000F,2002,2021/6/17,14,98.024,61
78000F,2002,2021/6/17,15,95.696,91
78000F,2002,2021/6/17,16,101.218,90
78000F,2002,2021/6/17,17,100.19,101
78000F,2002,2021/6/17,18,99.284,130
78000F,2002,2021/6/17,19,99.331,75
78000F,2002,2021/6/17,20,97.35,62
78000F,2002,2021/6/17,21,95.401,43
78000F,2002,2021/6/17,22,99.467,19
78000F,2002,2021/6/17,23,91.349,12
78000F,2002,2021/6/18,0,100.345,13
78000F,2002,2021/6/18,1,86.471,6
78000F,2002,2021/6/18,2,94.107,4
78000F,2002,2021/6/18,3,87.867,5
78000F,2002,2021/6/18,4,111.131,4
78000F,2002,2021/6/18,5,106.128,7
78000F,2002,2021/6/18,6,107.362,23
78000F,2002,2021/6/18,7,97.736,37
78000F,2002,2021/6/18,8,98.43,58
78000F,2002,2021/6/18,9,99.486,75
78000F,2002,2021/6/18,10,94.272,74
78000F,2002,2021/6/18,11,95.079,73
78000F,2002,2021/6/18,12,96.174,66
78000F,2002,2021/6/18,13,99.423,83
78000F,2002,2021/6/18,14,100.891,84
78000F,2002,2021/6/18,15,91.546,95
78000F,2002,2021/6/18,16,98.755,112
78000F,2002,2021/6/18,17,103.087,182
78000F,2002,2021/6/18,18,104.8,220
78000F,2002,2021/6/18,19,104.735,160
78000F,2002,2021/6/18,20,98.062,89
78000F,2002,2021/6/18,21,96.286,50
78000F,2002,2021/6/18,22,95.141,32
78000F,2002,2021/6/18,23,103.139,10
78000F,2002,2021/6/19,0,87.51,15
78000F,2002,2021/6/19,1,92.877,5
78000F,2002,2021/6/19,2,99.346,7
78000F,2002,2021/6/19,3,92.842,7
78000F,2002,2021/6/19,4,103.169,6
78000F,2002,2021/6/19,5,112.275,9
78000F,2002,2021/6/19,6,107.112,34
78000F,2002,2021/6/19,7,97.577,69
78000F,2002,2021/6/19,8,96.528,118
78000F,2002,2021/6/19,9,98.199,121
78000F,2002,2021/6/19,10,98.062,108
78000F,2002,2021/6/19,11,95.787,83
78000F,2002,2021/6/19,12,97.076,72
78000F,2002,2021/6/19,13,98.532,68
78000F,2002,2021/6/19,14,96.859,100
78000F,2002,2021/6/19,15,94.238,110
78000F,2002,2021/6/19,16,94.605,87
78000F,2002,2021/6/19,17,99.994,110
78000F,2002,2021/6/19,18,99.428,133
78000F,2002,2021/6/19,19,98.669,79
78000F,2002,2021/6/19,20,93.213,60
78000F,2002,2021/6/19,21,99.843,37
78000F,2002,2021/6/19,22,100.666,31
78000F,2002,2021/6/19,23,100.82,18
78000F,2002,2021/6/20,0,95.662,7
78000F,2002,2021/6/20,1,86.071,5
78000F,2002,2021/6/20,2,84.891,5
78000F,2002,2021/6/20,3,94.412,5
78000F,2002,2021/6/20,4,85.919,4
78000F,2002,2021/6/20,5,118.946,6
78000F,2002,2021/6/20,6,104.433,26
78000F,2002,2021/6/20,7,97.196,36
78000F,2002,2021/6/20,8,98.489,48
78000F,2002,2021/6/20,9,99.308,100
78000F,2002,2021/6/20,10,100.939,90
78000F,2002,2021/6/20,11,101.163,65
78000F,2002,2021/6/20,12,100.381,62
78000F,2002,2021/6/20,13,99.271,88
78000F,2002,2021/6/20,14,97.753,85
78000F,2002,2021/6/20,15,97.678,109
78000F,2002,2021/6/20,16,97.023,118
78000F,2002,2021/6/20,17,101.693,117
78000F,2002,2021/6/20,18,101.322,110
78000F,2002,2021/6/20,19,97.959,114
78000F,2002,2021/6/20,20,100.244,58
78000F,2002,2021/6/20,21,96.722,25
78000F,2002,2021/6/20,22,97.196,18
78000F,2002,2021/6/20,23,100.921,13
78000F,2002,2021/6/21,0,94.382,12
78000F,2002,2021/6/21,1,71.019,6
78000F,2002,2021/6/21,2,110.625,3
78000F,2002,2021/6/21,3,106.175,3
78000F,2002,2021/6/21,4,102.27,1
78000F,2002,2021/6/21,5,99.345,16
78000F,2002,2021/6/21,6,104.56,56
78000F,2002,2021/6/21,7,105.817,70
78000F,2002,2021/6/21,8,100.609,77
78000F,2002,2021/6/21,9,95.859,65
78000F,2002,2021/6/21,10,98.584,65
78000F,2002,2021/6/21,11,98.171,53
78000F,2002,2021/6/21,12,96.481,56
78000F,2002,2021/6/21,13,97.374,54
78000F,2002,2021/6/21,14,92.199,65
78000F,2002,2021/6/21,15,93.363,80
78000F,2002,2021/6/21,16,97.868,80
78000F,2002,2021/6/21,17,97.55,85
78000F,2002,2021/6/21,18,101.373,117
78000F,2002,2021/6/21,19,102.739,78
78000F,2002,2021/6/21,20,94.828,59
78000F,2002,2021/6/21,21,98.042,38
78000F,2002,2021/6/21,22,96.203,33
78000F,2002,2021/6/21,23,99.059,13
78000F,2002,2021/6/22,0,93.443,11
78000F,2002,2021/6/22,1,80.649,5
78000F,2002,2021/6/22,2,97.101,5
78000F,2002,2021/6/22,3,109.031,3
78000F,2002,2021/6/22,4,109.925,4
78000F,2002,2021/6/22,5,108.35,7
78000F,2002,2021/6/22,6,101.355,23
78000F,2002,2021/6/22,7,103.117,52
78000F,2002,2021/6/22,8,99.633,63
78000F,2002,2021/6/22,9,92.711,74
78000F,2002,2021/6/22,10,97.521,56
78000F,2002,2021/6/22,11,101.013,43
78000F,2002,2021/6/22,12,97.122,45
78000F,2002,2021/6/22,13,100.14,74
78000F,2002,2021/6/22,14,103.161,71
78000F,2002,2021/6/22,15,96.526,75
78000F,2002,2021/6/22,16,104.039,79
78000F,2002,2021/6/22,17,100.41,96
78000F,2002,2021/6/22,18,98.772,122
78000F,2002,2021/6/22,19,103.098,96
78000F,2002,2021/6/22,20,94.702,61
78000F,2002,2021/6/22,21,95.541,44
78000F,2002,2021/6/22,22,108.386,21
78000F,2002,2021/6/22,23,93.994,20
78000F,2002,2021/6/23,0,94.651,8
78000F,2002,2021/6/23,1,91.472,4
78000F,2002,2021/6/23,2,94.954,7
78000F,2002,2021/6/23,3,104.286,6
78000F,2002,2021/6/23,4,106.314,2
78000F,2002,2021/6/23,5,112.539,5
78000F,2002,2021/6/23,6,97.932,32
78000F,2002,2021/6/23,7,101.952,44
78000F,2002,2021/6/23,8,100.964,55
78000F,2002,2021/6/23,9,101.339,67
78000F,2002,2021/6/23,10,94.904,66
78000F,2002,2021/6/23,11,102.433,48
78000F,2002,2021/6/23,12,100.755,45
78000F,2002,2021/6/23,13,103.529,68
78000F,2002,2021/6/23,14,100.615,90
78000F,2002,2021/6/23,15,99.203,83
78000F,2002,2021/6/23,16,101.57,97
78000F,2002,2021/6/23,17,103.513,82
78000F,2002,2021/6/23,18,103.363,117
78000F,2002,2021/6/23,19,101.496,103
78000F,2002,2021/6/23,20,100.702,58
78000F,2002,2021/6/23,21,97.91,32
78000F,2002,2021/6/23,22,104.764,22
78000F,2002,2021/6/23,23,92.81,24
78000F,2002,2021/6/24,0,92.162,10
78000F,2002,2021/6/24,1,87.778,6
78000F,2002,2021/6/24,2,96.3,4
78000F,2002,2021/6/24,3,90.772,8
78000F,2002,2021/6/24,4,99.368,4
78000F,2002,2021/6/24,5,90.466,8
78000F,2002,2021/6/24,6,109.954,25
78000F,2002,2021/6/24,7,100.821,53
78000F,2002,2021/6/24,8,100.389,76
78000F,2002,2021/6/24,9,96.645,67
78000F,2002,2021/6/24,10,103.745,62
78000F,2002,2021/6/24,11,102.981,62
78000F,2002,2021/6/24,12,103.497,57
78000F,2002,2021/6/24,13,101.484,80
78000F,2002,2021/6/24,14,100.442,66
78000F,2002,2021/6/24,15,99.88,89
78000F,2002,2021/6/24,16,99.309,72
78000F,2002,2021/6/24,17,103.134,102
78000F,2002,2021/6/24,18,103.988,91
78000F,2002,2021/6/24,19,101.375,72
78000F,2002,2021/6/24,20,99.044,43
78000F,2002,2021/6/24,21,97.027,34
78000F,2002,2021/6/24,22,95.943,26
78000F,2002,2021/6/24,23,97.615,20
78000F,2002,2021/6/25,0,94.269,9
78000F,2002,2021/6/25,1,93.804,7
78000F,2002,2021/6/25,2,101.18,6
78000F,2002,2021/6/25,3,94.69,2
78000F,2002,2021/6/25,4,102.59,5
78000F,2002,2021/6/25,5,107.743,9
78000F,2002,2021/6/25,6,109.702,24
78000F,2002,2021/6/25,7,100.196,69
78000F,2002,2021/6/25,8,101.412,70
78000F,2002,2021/6/25,9,98.6,89
78000F,2002,2021/6/25,10,101.289,67
78000F,2002,2021/6/25,11,98.568,73
78000F,2002,2021/6/25,12,98.767,86
78000F,2002,2021/6/25,13,101.993,83
78000F,2002,2021/6/25,14,98.793,83
78000F,2002,2021/6/25,15,98.601,100
78000F,2002,2021/6/25,16,98.263,121
78000F,2002,2021/6/25,17,103.775,133
78000F,2002,2021/6/25,18,100.833,243
78000F,2002,2021/6/25,19,101.018,169
78000F,2002,2021/6/25,20,98.259,76
78000F,2002,2021/6/25,21,96.454,58
78000F,2002,2021/6/25,22,99.012,39
78000F,2002,2021/6/25,23,95.421,22
78000F,2002,2021/6/26,0,94.062,17
78000F,2002,2021/6/26,1,93.074,10
78000F,2002,2021/6/26,2,90.812,10
78000F,2002,2021/6/26,3,91.196,5
78000F,2002,2021/6/26,4,89.896,2
78000F,2002,2021/6/26,5,103.811,7
78000F,2002,2021/6/26,6,103.134,27
78000F,2002,2021/6/26,7,102.54,65
78000F,2002,2021/6/26,8,102.981,77
78000F,2002,2021/6/26,9,102.026,93
78000F,2002,2021/6/26,10,104.81,107
78000F,2002,2021/6/26,11,102.456,77
78000F,2002,2021/6/26,12,102.751,71
78000F,2002,2021/6/26,13,100.635,88
78000F,2002,2021/6/26,14,101.364,84
78000F,2002,2021/6/26,15,100.508,82
78000F,2002,2021/6/26,16,99.706,102
78000F,2002,2021/6/26,17,104.825,98
78000F,2002,2021/6/26,18,102.252,113
78000F,2002,2021/6/26,19,104.863,109
78000F,2002,2021/6/26,20,99.975,82
78000F,2002,2021/6/26,21,98.222,35
78000F,2002,2021/6/26,22,93.781,27
78000F,2002,2021/6/26,23,102.768,16
78000F,2002,2021/6/27,0,92.858,11
78000F,2002,2021/6/27,1,90.634,2
78000F,2002,2021/6/27,2,93.629,6
78000F,2002,2021/6/27,3,100.366,4
78000F,2002,2021/6/27,4,89.937,2
78000F,2002,2021/6/27,5,103.204,9
78000F,2002,2021/6/27,6,104.501,29
78000F,2002,2021/6/27,7,103.658,35
