出口站点,日期,小时,分钟,车流量
2002,2021/5/10,16,25,2
2002,2021/5/10,16,30,1
2002,2021/5/10,16,35,1
2002,2021/5/10,16,40,1
2002,2021/5/10,17,45,1
2002,2021/5/10,17,55,1
2002,2021/5/10,18,20,1
2002,2021/5/10,18,30,1
2002,2021/5/10,18,40,1
2002,2021/5/10,19,10,1
2002,2021/5/10,19,15,1
2002,2021/5/10,19,50,1
2002,2021/5/10,19,55,1
2002,2021/5/10,20,15,1
2002,2021/5/10,20,20,1
2002,2021/5/10,20,30,1
2002,2021/5/10,20,50,1
2002,2021/5/10,21,15,1
2002,2021/5/10,22,15,1
2002,2021/5/10,23,15,1
2002,2021/5/11,0,45,1
2002,2021/5/11,4,30,1
2002,2021/5/11,5,15,1
2002,2021/5/11,5,30,1
2002,2021/5/11,5,40,1
2002,2021/5/11,6,40,1
2002,2021/5/11,6,55,1
2002,2021/5/11,7,5,1
2002,2021/5/11,7,20,1
2002,2021/5/11,7,25,1
2002,2021/5/11,7,30,1
2002,2021/5/11,7,35,2
2002,2021/5/11,7,40,3
2002,2021/5/11,7,45,1
2002,2021/5/11,7,50,1
2002,2021/5/11,7,55,1
2002,2021/5/11,8,0,1
2002,2021/5/11,8,10,1
2002,2021/5/11,8,35,2
2002,2021/5/11,8,50,1
2002,2021/5/11,9,20,1
2002,2021/5/11,9,45,1
2002,2021/5/11,10,10,1
2002,2021/5/11,10,15,1
2002,2021/5/11,10,20,1
2002,2021/5/11,10,25,2
2002,2021/5/11,10,30,3
2002,2021/5/11,11,25,1
2002,2021/5/11,11,30,1
2002,2021/5/11,11,35,1
2002,2021/5/11,11,40,1
2002,2021/5/11,12,5,1
2002,2021/5/11,12,35,1
2002,2021/5/11,12,55,1
2002,2021/5/11,13,0,1
2002,2021/5/11,13,5,2
2002,2021/5/11,13,10,1
2002,2021/5/11,13,30,1
2002,2021/5/11,13,40,2
2002,2021/5/11,13,55,1
2002,2021/5/11,14,0,1
2002,2021/5/11,14,5,1
2002,2021/5/11,14,10,1
2002,2021/5/11,14,20,1
2002,2021/5/11,14,30,1
2002,2021/5/11,14,50,1
2002,2021/5/11,15,0,1
2002,2021/5/11,15,10,1
2002,2021/5/11,15,20,3
2002,2021/5/11,15,40,1
2002,2021/5/11,15,50,1
2002,2021/5/11,16,5,1
2002,2021/5/11,16,10,1
2002,2021/5/11,16,25,1
2002,2021/5/11,17,0,1
2002,2021/5/11,17,10,2
2002,2021/5/11,17,20,1
2002,2021/5/11,18,0,1
2002,2021/5/11,18,15,1
2002,2021/5/11,18,40,1
2002,2021/5/11,19,0,1
2002,2021/5/11,19,10,1
2002,2021/5/11,19,25,1
2002,2021/5/11,19,35,1
2002,2021/5/11,19,50,1
2002,2021/5/11,20,40,1
2002,2021/5/11,21,40,1
2002,2021/5/11,22,50,1
2002,2021/5/12,0,15,1
2002,2021/5/12,1,45,1
2002,2021/5/12,2,15,1
2002,2021/5/12,5,45,1
2002,2021/5/12,7,0,1
2002,2021/5/12,7,10,1
2002,2021/5/12,7,25,1
2002,2021/5/12,7,35,2
2002,2021/5/12,7,40,1
2002,2021/5/12,7,45,3
2002,2021/5/12,7,55,2
2002,2021/5/12,8,5,1
2002,2021/5/12,8,10,1
2002,2021/5/12,8,35,1
2002,2021/5/12,8,40,1
2002,2021/5/12,8,45,1
2002,2021/5/12,8,50,2
2002,2021/5/12,9,0,2
2002,2021/5/12,9,10,1
2002,2021/5/12,9,30,3
2002,2021/5/12,9,40,2
2002,2021/5/12,9,45,1
